Template scope,Workstream,Applicability question,Authority to confirm,Exact rule or permit condition,Jurisdiction and adopted edition,Asset IDs and design version,Evidence to assemble,Applicability decision,Decision basis and review date,Responsible owner,Reviewer,Trigger or deadline basis,Metric and units,Limit or averaging period,Next due date,Evidence location,Submission or acceptance receipt,Change requiring reassessment,Related guide
U.S. starting template; site-specific applicability review required,"Siting, zoning and noise","Is the proposed use allowed on the parcel, including conditions and noise limits?",Local planning and zoning authority,,,,Zoning determination; site approval conditions; acoustic study,Unassessed,,,,,,,,,,,https://invariant-ai.com/blog/data-center-site-selection-permitting
U.S. starting template; site-specific applicability review required,Power and utility service,Which written commitments support the phased energization date?,Serving utility and relevant grid operator,,,,Load forecast; service study; upgrade responsibilities; executed agreement,Unassessed,,,,,,,,,,,https://invariant-ai.com/blog/data-center-site-selection-permitting
U.S. starting template; site-specific applicability review required,Generators and air emissions,"Which permits, standards and operating limits apply to each engine?",State or local air authority; applicable EPA programs,,,,Engine inventory; permit conditions; emissions basis; operating logs,Unassessed,,,,,,,,,,,https://invariant-ai.com/blog/data-center-backup-generator-air-permits
U.S. starting template; site-specific applicability review required,Water supply and cooling discharge,Which supply and discharge authorizations cover the actual cooling design?,Water supplier; sewer authority; state water regulator or EPA,,,,Water balance; service commitment; discharge characterization; authorization,Unassessed,,,,,,,,,,,https://invariant-ai.com/blog/data-center-water-stormwater-permits
U.S. starting template; site-specific applicability review required,"Stormwater, wetlands and earthwork",What must be authorized before disturbance under this development plan?,Applicable stormwater authority; Army Corps where jurisdiction applies,,,,Disturbance map; coverage determination; erosion controls; wetland review,Unassessed,,,,,,,,,,,https://invariant-ai.com/blog/data-center-water-stormwater-permits
U.S. starting template; site-specific applicability review required,"Fuel, batteries and chemical inventories","Which SPCC, Tier II and local storage duties apply, assessed separately?",EPA; state programs; emergency planning bodies; fire authority,,,,Capacity inventory; maximum chemical quantities; SDS; applicability assessment,Unassessed,,,,,,,,,,,https://invariant-ai.com/blog/data-center-fuel-storage-spcc-tier-ii
U.S. starting template; site-specific applicability review required,"Building, electrical and fire approval",What adopted code and project conditions govern this battery configuration?,Building and fire officials,,,,Code edition; chemistry and capacity; listings; test reports; approved plans,Unassessed,,,,,,,,,,,https://invariant-ai.com/blog/data-center-fire-code-battery-requirements
U.S. starting template; site-specific applicability review required,Refrigerants and maintenance,Which requirements apply to each appliance and service event?,EPA Section 608 and applicable AIM Act rules,,,,Appliance register; refrigerant and charge; service records; leak calculations,Unassessed,,,,,,,,,,,https://invariant-ai.com/blog/data-center-refrigerant-compliance
U.S. starting template; site-specific applicability review required,Worker safety and commissioning,What procedures and records are needed for the tasks at this facility?,OSHA or applicable state occupational safety program,,,,Task review; energy-control procedures; qualifications; commissioning records,Unassessed,,,,,,,,,,,https://invariant-ai.com/data-center-compliance
U.S. starting template; site-specific applicability review required,"Security, customer assurance and data duties","Which laws, customer terms and voluntary assurance commitments apply?",Applicable law; customer agreements; chosen assurance program,,,,Service boundary; contractual requirements; control ownership; assurance evidence,Unassessed,,,,,,,,,,,https://invariant-ai.com/data-center-compliance
